word,freq
rigid,21
runs,21
sad,21
sealed,21
secured,21
sick,21
space,21
staggered,21
swift,21
tone,21
trained,21
useless,21
waterloo,21
whistle,21
wine,21
agony,20
angle,20
arrive,20
astonished,20
awaiting,20
believed,20
brains,20
burglar,20
chill,20
closing,20
college,20
congratulate,20
consult,20
courage,20
cries,20
crimes,20
day's,20
den,20
departure,20
describe,20
difference,20
directed,20
doctor's,20
easier,20
exercise,20
faith,20
falling,20
fantastic,20
feelings,20
fifteen,20
flung,20
friendly,20
frock,20
gazing,20
gentle,20
gravely,20
grizzled,20
guessed,20
harrison,20
incidents,20
injured,20
injury,20
introduced,20
jove,20
keeper,20
league,20
market,20
massive,20
night's,20
numerous,20
occur,20
plot,20
poured,20
probability,20
progress,20
pure,20
rare,20
rat,20
rate,20
researches,20
rolled,20
safely,20
saturday,20
senses,20
sill,20
spend,20
startled,20
subtle,20
travelled,20
trial,20
trousers,20
turner,20
unpleasant,20
windibank,20
york,20
africa,19
approaching,19
assistant,19
athelney,19
aurora,19
bachelor,19
beaten,19
belonged,19
bones,19
breathing,19
cared,19
chairs,19
coffin,19
cord,19
cruel,19
curse,19
custom,19
deductions,19
disappointment,19
discover,19
entering,19
european,19
flew,19
flying,19
gaunt,19
gently,19
grasp,19
happen,19
holdernesse,19
hugo,19
hunting,19
inches,19
introduce,19
jacket,19
laughter,19
lot,19
map,19
meantime,19
melas,19
mental,19
mission,19
motionless,19
moustache,19
neville,19
newspaper,19
nice,19
oxford,19
pieces,19
plenty,19
plunged,19
popular,19
possessed,19
pound,19
precaution,19
pride,19
pushing,19
railway,19
rattled,19
regret,19
revenge,19
ruined,19
scientific,19
sending,19
sentence,19
shattered,19
sombre,19
stepfather,19
stole,19
stoner,19
stooped,19
suspicious,19
thrill,19
till,19
treaty,19
unnatural,19
uttered,19
warren,19
whisper,19
accept,18
acting,18
amount,18
amusement,18
analysis,18
ascended,18
ashes,18
avenue,18
awful,18
bill,18
bold,18
brass,18
cadogan,18
charming,18
cipher,18
coincidence,18
confession,18
conviction,18
coombe,18
copper,18
dared,18
deceased,18
deepest,18
depend,18
devonshire,18
disguise,18
documents,18
dream,18
errand,18
eventually,18
fill,18
fix,18
genius,18
gesture,18
groaned,18
hearing,18
highly,18
hit,18
hospital,18
humour,18
hush,18
illness,18
inexplicable,18
instructions,18
involved,18
jewels,18
join,18
lucky,18
manage,18
march,18
moments,18
mother's,18
mounted,18
murmured,18
muttered,18
net,18
norfolk,18
nurse,18
obscure,18
paced,18
pains,18
paris,18
partly,18
pavement,18
pursued,18
pursuit,18
rattle,18
recall,18
referred,18
rested,18
resumed,18
ritual,18
rounded,18
sailor,18
salt,18
screamed,18
secrecy,18
separated,18
shaven,18
solemn,18
steady,18
stolen,18
stretch,18
stronger,18
suicide,18
supposition,18
surface,18
surgeon,18
surrey,18
surrounded,18
tracey,18
treat,18
united,18
vengeance,18
waistcoat,18
wilder,18
woods,18
woolwich,18
wrist,18
accounts,17
adler,17
agitated,17
apology,17
appeal,17
arrangements,17
articles,17
balance,17
begged,17
block,17
bow,17
brightly,17
brougham,17
century,17
chanced,17
clenched,17
clock,17
cloth,17
colleague,17
communicate,17
considered,17
coroner,17
crowded,17
darted,17
depends,17
developments,17
doubts,17
dramatic,17
drunk,17
drunken,17
dumb,17
earnest,17
ease,17
edwards,17
employed,17
endeavouring,17
energetic,17
englishman,17
established,17
exposed,17
fat,17
forgive,17
frame,17
france,17
fury,17
gaze,17
geese,17
gossip,17
gradually,17
granite,17
grown,17
hatherley,17
hell,17
hideous,17
hills,17
hullo,17
humble,17
individual,17
inference,17
instructive,17
irene,17
keys,17
kill,17
killing,17
lawyer,17
legal,17
lighted,17
lighting,17
luggage,17
maiden,17
masterful,17
movement,17
movements,17
murderous,17
objection,17
organization,17
outline,17
peeped,17
pictures,17
platform,17
portion,17
qualities,17
recently,17
recollection,17
recommend,17
records,17
retreat,17
rule,17
scrawled,17
sell,17
services,17
shadows,17
shared,17
sheep,17
shooting,17
similar,17
sprung,17
steam,17
steel,17
stories,17
strangers,17
striking,17
succession,17
sussex,17
swore,17
tired,17
title,17
training,17
tree,17
troubled,17
union,17
unnecessary,17
veil,17
vicar,17
villa,17
violin,17
warm,17
wax,17
wearing,17
whip,17
whiskers,17
actions,16
alice,16
amateur,16
armstrong,16
army,16
assassin,16
assumed,16
attitude,16
blew,16
brings,16
buy,16
cabinet,16
cigars,16
clergyman,16
commission,16
concluded,16
consideration,16
cool,16
crouching,16
dartmoor,16
dazed,16
deeper,16
dimly,16
disposition,16
distinctly,16
dried,16
earlier,16
earn,16
eat,16
expecting,16
expressed,16
fiend,16
fireplace,16
flash,16
foolish,16
fort,16
fourth,16
friendship,16
furious,16
furiously,16
gems,16
glare,16
gravel,16
hang,16
hearted,16
heath,16
hopeless,16
horribly,16
hundreds,16
huxtable,16
impatiently,16
inch,16
inconceivable,16
incredible,16
invisible,16
landing,16
landlord,16
lee,16
level,16
lurking,16
majesty,16
merripit,16
million,16
music,16
napoleon,16
neat,16
oath,16
occupied,16
odd,16
overlooked,16
pack,16
patch,16
pause,16
pondicherry,16
principal,16
readily,16
regard,16
remarkably,16
remove,16
replaced,16
reports,16
responsibility,16
rolling,16
rushing,16
scribbled,16
searched,16
secrets,16
sensational,16
setting,16
severe,16
sharply,16
shelf,16
simpson,16
sole,16
soothing,16
spread,16
staff,16
sternly,16
student,16
suffering,16
sworn,16
taste,16
terrace,16
threatened,16
ticket,16
tin,16
trick,16
trifle,16
type,16
visited,16
walks,16
warned,16
waved,16
winter,16
won,16
wondering,16
yew,16
accomplice,15
accused,15
actual,15
argument,15
attacked,15
attempted,15
banker,15
baskervilles,15
beating,15
belongs,15
bending,15
birdy,15
blank,15
blazing,15
boscombe,15
branches,15
burglary,15
cabin,15
car,15
clearer,15
colonel's,15
combination,15
commissionaire,15
comrades,15
conceivable,15
confessed,15
conjecture,15
contrast,15
crept,15
daylight,15
defence,15
degree,15
delivered,15
distinct,15
distinguished,15
drama,15
eagerness,15
earned,15
employ,15
engage,15
faithful,15
fits,15
folded,15
framed,15
frankland,15
freely,15
fringe,15
gap,15
giant,15
gleaming,15
goodness,15
halted,15
hammer,15
hayes,15
heap,15
hid,15
huddled,15
impressions,15
indication,15
inquired,15
instance,15
instrument,15
intellectual,15
jonas,15
justified,15
king's,15
lid,15
loudly,15
mate,15
miners,15
mixture,15
murderers,15
murmur,15
oberstein,15
openshaw,15
pace,15
pages,15
palm,15
peaceful,15
perceived,15
percy,15
pink,15
politics,15
possess,15
precautions,15
prime,15
prison,15
proceedings,15
proper,15
provided,15
quivering,15
recognised,15
regular,15
relation,15
restless,15
rid,15
roads,15
ruddy,15
rude,15
ruffian,15
rush,15
russian,15
san,15
seaman,15
securities,15
seek,15
sensitive,15
shade,15
skull,15
sovereign,15
speed,15
splendid,15
stapletons,15
staying,15
steadily,15
stooping,15
