STATENAME,ST_CASE,FATALS,VE_TOTAL,COUNTY,CITY,MONTH,MONTHNAME,DAY,DAY_WEEK,YEAR,HOUR,URBAN-RURAL,LONGITUDE,LATITUDE,HARM_EV,LGT_COND,WEATHER,Vehicle_Make,Accident_Involved,Vehicle_Type
Hawaii,150047,4,1,HAWAII,HILO,May,21,21,Saturday,2022,21,Urban,19.68481944,-155.0655889,Fell/Jumped from Vehicle,Dark - Lighted,Cloudy,Jeep / Kaiser-Jeep / Willys- Jeep YJ series/Wrangler,Motor Vehicle In-Transport,Light Pickup
Hawaii,150048,2,2,MAUI,KAHULUI,June,17,17,Friday,2022,20,Urban,20.88982778,-156.4716722,Pedestrian,Dark - Not Lighted,Clear,Volvo 70 Series,Pedestrian,Unknown body type
Hawaii,150049,1,1,MAUI,KAHULUI,May,26,26,Thursday,2022,5,Urban,20.88045,-156.4420111,Pedestrian,Dawn,Clear,Honda 750 cc or greater,Pedestrian,Station Wagon (excluding van and truck based)
Hawaii,150050,1,1,HONOLULU,HONOLULU,June,19,19,Sunday,2022,0,Urban,21.33411389,-157.8720167,Pedestrian,Dark - Lighted,Clear,Nissan/Datsun Rogue ,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150051,1,2,HAWAII,PEPEEKEO,June,18,18,Saturday,2022,15,Rural,19.82750278,-155.1042806,Motor Vehicle In-Transport,Daylight,Clear,Mercedes-Benz E Class,Motor Vehicle In-Transport,Light Pickup
Hawaii,150052,1,2,HAWAII,HILO,June,13,13,Monday,2022,7,Urban,19.73963333,-155.0911528,Motor Vehicle In-Transport,Daylight,Clear,Toyota Tacoma,Wall,5-door/4-door hatchback
Hawaii,150053,1,1,KAUAI,HANAMA`ULU,January,2,2,Sunday,2022,17,Urban,21.99350278,-159.343225,Rollover/Overturn,Dark - Not Lighted,Cloudy,Toyota 4-Runner,Motor Vehicle In-Transport,Motor Scooter
Hawaii,150054,1,2,KAUAI,KAPA`A,January,23,23,Sunday,2022,18,Urban,22.07306944,-159.3193444,Motor Vehicle In-Transport,Dark - Lighted,Cloudy,"Chevrolet C, K, R, V-series pickup/Silverado",Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150055,1,1,KAUAI,WAILUA HAWAIIAN HOME LAND,March,14,14,Monday,2022,13,Urban,22.05916111,-159.3659306,Rollover/Overturn,Daylight,Clear,Jeep / Kaiser-Jeep / Willys- Jeep Grand Cherokee ,Pedestrian,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")"
Hawaii,150056,1,4,KAUAI,ANAHOLA,April,15,15,Friday,2022,12,Urban,22.16020278,-159.3173806,Motor Vehicle In-Transport,Daylight,Cloudy,Honda Pilot,Motor Vehicle In-Transport,"2-door sedan,hardtop,coupe"
Hawaii,150057,1,3,KAUAI,KOLOA,May,18,18,Wednesday,2022,15,Rural,21.95021111,-159.465,Motor Vehicle In-Transport,Daylight,Rain,Jeep / Kaiser-Jeep / Willys- Jeep YJ series/Wrangler,Motor Vehicle In-Transport,Moped
Hawaii,150058,4,2,MAUI,WAILUKU HAWAIIAN HOME LAND (HISTORICAL),July,8,8,Friday,2022,17,Urban,20.87046389,-156.4976444,Fell/Jumped from Vehicle,Daylight,Clear,"GMC C, K, R, V-series pickup/Sierra",Curb,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150059,3,1,HONOLULU,HONOLULU,July,17,17,Sunday,2022,9,Urban,21.36051389,-157.8996694,Concrete Traffic Barrier,Daylight,Clear,Ford Edge,Rollover/Overturn,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150060,1,3,HAWAII,KEALAKEKUA,June,15,15,Wednesday,2022,9,Urban,19.54159722,-155.9290389,Motor Vehicle In-Transport,Daylight,Clear,Dodge Ram Pickup,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
